Title,Artist,BPM,Key,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
Straight Up,Paula Abdul,96,7A,Other,                              ,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive (Backup)\Paula Abdul - Straight Up.mp3,7A - Energy 7                            ,,-16.9 dB,7,8,2
Party In The U.S.A.,Miley Cyrus,96,2A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Miley Cyrus - Party In The U.S.A._pn.mp3,2A - Energy 7 - www.mediahuman.com,,-13.1 dB,7,5,0
Hate Me Now (Dirty),Nas,90,7A,Rap,I am..  (Retail Version),,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Old Hard Drive Sounds Fixed\Nas - Hate me now_pn.mp3,7A - Energy 7,,-12.9 dB,7,7,0
Wind Me Up,Sunlike Brothers & MAD SNAX,130,7A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Sunlike Brothers & MAD SNAX - Wind Me Up_pn.mp3,7A - Energy 7 - www.mediahuman.com,,-13.0 dB,7,5,0
Everything (Original Mix),"Anthony Keyrouz , Offrami , THRILLION",120,10A,Other,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Anthony Keyrouz , Offrami , THRILLION - Everything (Original Mix)_pn.mp3",10A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,7,0
The Way I Are (Intro Clean),Timbaland ft Keri Hilson & D.O.E.,115,1A,Pop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Timbaland ft Keri Hilson & D.O.E. - The Way I Are (Intro Clean)_pn.mp3,1A - Energy 6,2007,-12.8 dB,6,8,0
Magic [Instrumental],Future feat T.I.,145,2A,Hip  Hop,BPMsupreme.com,www.BPMsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Magic [Instrumental]_pn.mp3,2A - Energy 5 - BPMsupreme.com,2012,-13.8 dB,5,6,0
Me and My Guitar,"Jax Jones, Fireboy DML",126,11B,Other,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Jax Jones, Fireboy DML - Me and My Guitar_pn.mp3",11B - Energy 7 - www.mediahuman.com,,-12.8 dB,7,8,0
DURO,Argy & TNY,126,4A,,DURO,,4/28/2025,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Argy & TNY - DURO_pn.mp3,4A - Energy 7 - www.mediahuman.com,2025,-11.1 dB,7,7,0
F*ck Up Some Commas,Future,140,9A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Future - F_ck Up Some Commas_pn.mp3,9A - Energy 5 - www.mediahuman.com,,-13.0 dB,5,8,0
